Omega, Time
1.0, 6488
1.01, 6379
1.02, 6272
1.03, 6166
1.04, 6062
1.05, 5960
1.06, 5859
1.07, 5760
1.08, 5662
1.09, 5566
1.1, 5471
1.11, 5378
1.12, 5286
1.1300000000000001, 5195
1.1400000000000001, 5105
1.1500000000000001, 5017
1.1600000000000001, 4930
1.1700000000000002, 4844
1.1800000000000002, 4759
1.1900000000000002, 4676
1.2000000000000002, 4593
1.2100000000000002, 4512
1.2200000000000002, 4431
1.2300000000000002, 4352
1.2400000000000002, 4274
1.2500000000000002, 4196
1.2600000000000002, 4120
1.2700000000000002, 4044
1.2800000000000002, 3970
1.2900000000000003, 3896
1.3000000000000003, 3823
1.3100000000000003, 3751
1.3200000000000003, 3680
1.3300000000000003, 3610
1.3400000000000003, 3541
1.3500000000000003, 3472
1.3600000000000003, 3404
1.3700000000000003, 3337
1.3800000000000003, 3270
1.3900000000000003, 3204
1.4000000000000004, 3139
1.4100000000000004, 3075
1.4200000000000004, 3011
1.4300000000000004, 2948
1.4400000000000004, 2886
1.4500000000000004, 2824
1.4600000000000004, 2763
1.4700000000000004, 2702
1.4800000000000004, 2642
1.4900000000000004, 2582
1.5000000000000004, 2524
1.5100000000000005, 2465
1.5200000000000005, 2407
1.5300000000000005, 2350
1.5400000000000005, 2293
1.5500000000000005, 2237
1.5600000000000005, 2181
1.5700000000000005, 2125
1.5800000000000005, 2070
1.5900000000000005, 2016
1.6000000000000005, 1962
1.6100000000000005, 1908
1.6200000000000006, 1855
1.6300000000000006, 1802
1.6400000000000006, 1749
1.6500000000000006, 1697
1.6600000000000006, 1646
1.6700000000000006, 1594
1.6800000000000006, 1543
1.6900000000000006, 1492
1.7000000000000006, 1442
1.7100000000000006, 1392
1.7200000000000006, 1342
1.7300000000000006, 1292
1.7400000000000007, 1243
1.7500000000000007, 1193
1.7600000000000007, 1145
1.7700000000000007, 1096
1.7800000000000007, 1047
1.7900000000000007, 999
1.8000000000000007, 950
1.8100000000000007, 902
1.8200000000000007, 854
1.8300000000000007, 805
1.8400000000000007, 757
1.8500000000000008, 709
1.8600000000000008, 660
1.8700000000000008, 611
1.8800000000000008, 562
1.8900000000000008, 512
1.9000000000000008, 460
1.9100000000000008, 408
1.9200000000000008, 352
1.9300000000000008, 290
1.9400000000000008, 222
1.9500000000000008, 263
1.9600000000000009, 322
1.9700000000000009, 426
1.9800000000000009, 632
1.9900000000000009, 1261
